iso3166-1_alpha2,region_name,city_name,geonameid
AD,Andorra la Vella,Andorra la Vella,3041563
AD,Andorra la Vella,Santa Coloma,3039181
AD,Canillo,Canillo,3041204
AD,Canillo,El Tarter,3039154
AD,Canillo,Ransol,3039320
AD,Canillo,Soldeu,3038999
AD,Encamp,Encamp,3040686
AD,Encamp,Les Bons,3040067
AD,Encamp,Pas de la Casa,3039604
AD,Escaldes-Engordany,Les Escaldes,3040051
AD,La Massana,Anyos,3041543
AD,La Massana,Arinsal,3041519
AD,La Massana,La Massana,3040132
AD,La Massana,Sispony,3039077
AD,Ordino,Ordino,3039678
AD,Sant Julia de Loria,Sant Julia de Loria,3039163
AE,'Ajman,'Ajman,292933
AE,Abu Zaby,Abu Dhabi,292968
AE,Abu Zaby,Al Ain,292913
AE,Abu Zaby,Ar Ruways,292688
AE,Abu Zaby,Muzayri',291279
AE,Al Fujayrah,Al Fujayrah,292878
AE,Ash Shariqah,Adh Dhayd,292953
AE,Ash Shariqah,Diba,292239
AE,Ash Shariqah,Khawr Fakkan,291696
AE,Ash Shariqah,Sharjah,292672
AE,Dubayy,Dubai,292223
AE,Ra's al Khaymah,Ras Al Khaimah,291074
AE,Umm al Qaywayn,Umm Al Quwain,290594
AF,Badghis,Khan,0
AF,Badghis,Qala i Naw,1129867
AF,Baghlan,Baghlan,1476097
AF,Baghlan,Nahrin,1132495
AF,Baghlan,Pul-e Khumri,1130490
AF,Balkh,Balkh,1147290
AF,Balkh,Mazar-e Sharif,1133616
AF,Bamyan,Bamyan,1147242
AF,Bamyan,Cool urhajo,0
AF,Bamyan,Panjab,1131162
AF,Daykundi,Mazar,0
AF,Farah,Farah,1142264
AF,Faryab,Andkhoy,1148658
AF,Faryab,Maymana,1133453
AF,Ghazni,Ghazni,1141269
AF,Ghor,Shahrak,1125896
AF,Helmand,Gereshk,1141540
AF,Helmand,Hukumat-e Nad 'Ali,1132550
AF,Helmand,Lashkar Gah,1134720
AF,Helmand,Sangin,1127547
AF,Herat,Herat,1140026
AF,Herat,Kafir Qala,1142404
AF,Herat,Now,0
AF,Herat,Zindah Jan,1120711
AF,Jowzjan,Shibirghan,1125444
AF,Kabul,Kabul,1138958
AF,Kabul,Paghman,1131316
AF,Kandahar,Kandahar,1138336
AF,Khost,Khost,1136469
AF,Kunduz,Kunduz,1135689
AF,Laghman,Mehtar Lam,1133574
AF,Logar,Baraki Barak,1147066
AF,Nangarhar,Jalalabad,1139715
AF,Nimroz,Zaranj,1120985
AF,Paktika,Zarah Sharan,1120879
AF,Paktiya,Gardez,1141857
AF,Parwan,Charikar,1145352
AF,Samangan,Aibak,1127768
AF,Sar-e Pul,Qal'ah-ye Shahr,1130065
AF,Sar-e Pul,Sar-e Pul,1127111
AF,Takhar,Taloqan,1123004
AF,Takhar,Yangi Qal'ah,1121271
AF,Uruzgan,Tarinkot,1122747
AF,Uruzgan,Uruzgan,1131462
AG,Barbuda,Codrington,3576311
AG,Redonda,Redonda,10344575
AG,Saint George,Barnes Hill,3576386
AG,Saint George,Cassada Gardens,3576341
AG,Saint George,New Winthorpes,3576094
AG,Saint George,Osbourn,3576080
AG,Saint George,Paynters,3576069
AG,Saint George,The Grove,3575965
AG,Saint John,Saint John's,3576022
AG,Saint Mary,Old Road,3576085
AG,Saint Paul,Liberta,3576144
AG,Saint Peter,All Saints,3576397
AG,Saint Peter,Parham,3576074
AG,Saint Peter,Vernons,3575952
AG,Saint Philip,Freetown,3576236
AG,Saint Philip,Jennings,3576160
AG,Saint Philip,Willoughby,3575938
AI,Anguilla,The Valley,3573374
AL,Berat,Berat,3186084
AL,Berat,Kucove,3185060
AL,Diber,Bulqize,783508
AL,Diber,Burrel,783493
AL,Diber,Peshkopi,782061
AL,Durres,Durres,3185728
AL,Durres,Fushe-Kruje,3185638
AL,Durres,Kruje,3185082
AL,Durres,Shijak,3184099
AL,Elbasan,Cerrik,3185897
AL,Elbasan,Elbasan,783263
AL,Elbasan,Gramsh,783059
AL,Elbasan,Librazhd-Qender,832209
AL,Elbasan,Perrenjas-Fshat,781919
AL,Fier,Ballsh,3186145
AL,Fier,Fier,3185672
AL,Fier,Fier-Cifci,3185670
AL,Fier,Lushnje,3184862
AL,Fier,Patos Fshat,3184517
AL,Fier,Roskovec,3184290
AL,Gjirokaster,Gjirokaster,783148
AL,Gjirokaster,Tepelene,781443
AL,Korce,Bilisht,783606
AL,Korce,Korce,782756
AL,Korce,Leskovik,782535
AL,Korce,Pogradec,781988
AL,Kukes,Bajram Curri,7932375
AL,Kukes,Kukes,782661
AL,Lezhe,Kurbnesh,782632
AL,Lezhe,Lac,3185012
AL,Lezhe,Lezhe,3184935
AL,Lezhe,Milot,3184702
AL,Lezhe,Shengjin,3184136
AL,Shkoder,Fushe-Arrez,783214
AL,Shkoder,Koplik,3185133
AL,Shkoder,Puke,3184388
AL,Shkoder,Shkoder,3184081
AL,Tirane,Kamez,3185270
AL,Tirane,Kavaje,3185211
AL,Tirane,Krrabe,3185087
AL,Tirane,Rrogozhine,3184252
AL,Tirane,Tirana,3183875
AL,Tirane,Vore,3183708
AL,Vlore,Delvine,363383
AL,Vlore,Himare,3185377
AL,Vlore,Konispol,363320
AL,Vlore,Orikum,3184575
AL,Vlore,Sarande,363243
AL,Vlore,Vlore,3183719
AM,Aragacotn,Aghavnatun,617002
AM,Aragacotn,Aparan,616953
AM,Aragacotn,Ashtarak,616877
AM,Aragacotn,Aygeshat,616850
AM,Aragacotn,Byurakan,616791
AM,Aragacotn,Doghs,616748
AM,Aragacotn,Hnaberd,616535
AM,Aragacotn,Kasakh,616554
AM,Aragacotn,Kosh,616523
AM,Aragacotn,T'alin,616187
AM,Ararat,Abovyan,617027
AM,Ararat,Ararat,174991
AM,Ararat,Argavand,616913
AM,Ararat,Artashat,11056206
AM,Ararat,Avshar,174969
AM,Ararat,Bardzrashen,793672
AM,Ararat,Dimitrov,866135
AM,Ararat,Geghanist,616681
AM,Ararat,Goravan,174706
AM,Ararat,Marmarashen,616441
AM,Ararat,Masis,823816
AM,Ararat,Norabats',799614
AM,Ararat,Noyakert,174805
AM,Ararat,Shahumyan,174775
AM,Ararat,Vedi,174725
AM,Ararat,Vosketap',174714
AM,Ararat,Vostan,174713
AM,Ararat,Zangakatun,174704
AM,Armavir,Aknalich,616853
AM,Armavir,Apaga,616954
AM,Armavir,Armavir,616631
AM,Armavir,Baghramyan,823809
AM,Armavir,Dalarik,616769
AM,Armavir,Lukashin,616464
AM,Armavir,Merdzavan,616418
AM,Armavir,Metsamor,823807
AM,Armavir,Nalbandyan,616385
AM,Armavir,Norakert,0
AM,Armavir,Ptghunk',616289
AM,Armavir,Sardarapat,616631
AM,Armavir,Shenavan,616231
AM,Armavir,Vagharshapat,616062
AM,Erevan,Yerevan,616052
AM,Gegark'unik',Astghadzor,616874
AM,Gegark'unik',Chambarak,616786
AM,Gegark'unik',Dzoragyugh,616714
AM,Gegark'unik',Gavarr,616599
AM,Gegark'unik',Karanlukh,616576
AM,Gegark'unik',Karchaghbyur,616572
AM,Gegark'unik',Lchashen,616488
AM,Gegark'unik',Lichk',174832
AM,Gegark'unik',Martuni,10654504
AM,Gegark'unik',Mets Masrik,616411
AM,Gegark'unik',Sarukhan,11335548
AM,Gegark'unik',Sevan,616250
AM,Gegark'unik',Tsovasar,616174
AM,Gegark'unik',Tsovinar,616136
AM,Gegark'unik',Vaghashen,616119
AM,Gegark'unik',Vardenis,10932735
AM,Gegark'unik',Verin Getashen,616094
AM,Gegark'unik',Yeranos,11335920
AM,Gegark'unik',Zovaber,174712
AM,Kotayk',Abovyan,617026
AM,Kotayk',Bjni,616789
AM,Kotayk',Byureghavan,616790
AM,Kotayk',Hrazdan,616629
AM,Kotayk',Meghradzor,616424
AM,Kotayk',Prroshyan,616291
AM,Kotayk',Tsaghkadzor,616160
AM,Kotayk',Yeghvard,616065
AM,Lori,Alaverdi,616974
AM,Lori,Arevashogh,616920
AM,Lori,Darpas,11319536
AM,Lori,Gyulagarak,616639
AM,Lori,Margahovit,616445
AM,Lori,Norashen,616345
AM,Lori,Spitak,616199
AM,Lori,Tashir,616178
AM,Lori,Urrut,11364544
AM,Lori,Vanadzor,616530
AM,Lori,Vardablur,793638
AM,Sirak,Akhuryan,616989
AM,Sirak,Amasia,616971
AM,Sirak,Anushavan,616955
AM,Sirak,Gyumri,616635
AM,Sirak,Maralik,616446
AM,Sirak,Mayisyan,616453
AM,Sirak,Shirak,616224
AM,Syunik',Agarak,175008
AM,Syunik',Brrnakot',174942
AM,Syunik',Dzorastan,174918
AM,Syunik',Goris,174895
AM,Syunik',K'ajaran,174880
AM,Syunik',Kapan,174875
AM,Syunik',Khndzoresk,174849
AM,Syunik',Meghri,174823
AM,Syunik',Tegh,174743
AM,Tavus,Archis,616931
AM,Tavus,Bagratashen,616828
AM,Tavus,Berd,616802
AM,Tavus,Dilijan,616752
AM,Tavus,Ijevan,616627
AM,Tavus,Noyemberyan,616333
AM,Vayoc Jor,Aghavnadzor,175002
AM,Vayoc Jor,Armash,174983
AM,Vayoc Jor,Jermuk,174884
AM,Vayoc Jor,Vayk',174726
AM,Vayoc Jor,Yeghegnadzor,174710
AM,Vayoc Jor,Zarrit'ap',174703
AO,Bengo,Ambriz,0
AO,Bengo,Caxito,2242001
AO,Bengo,Paredes,0
AO,Benguela,Benguela,3351663
AO,Benguela,Catumbela,3350246
AO,Benguela,Lobito,3347939
AO,Bie,Camacupa,3351014
AO,Bie,Catabola,3350372
AO,Bie,Kuito,876325
AO,Cabinda,Cabinda,2243271
AO,Cuando Cubango,Menongue,3347353
AO,Cuanza-Norte,Camabatela,2242885
AO,Cuanza-Norte,N'dalatando,2239076
AO,Cuanza-Sul,Jorge,0
AO,Cuanza-Sul,Mundo,0
AO,Cuanza-Sul,Quibala,3346598
AO,Cuanza-Sul,Sumbe,3346015
AO,Cunene,Ondjiva,3346821
AO,Huambo,Caala,3351500
AO,Huambo,Huambo,3348313
AO,Huambo,Longonjo,3347853
AO,Huambo,Viana,0
AO,Huila,Caluquembe,3351024
AO,Huila,Lubango,3347762
AO,Huila,Sul,0
AO,Luanda,Camana,0
AO,Luanda,Luanda,2240449
AO,Luanda,Viana,0
AO,Lunda-Norte,Lucapa,145724
AO,Lunda-Sul,Saurimo,145531
AO,Malange,Malanje,2239862
AO,Moxico,Luau,876177
AO,Moxico,Luena,3347719
AO,Namibe,Mocamedes,0
AO,Namibe,Namibe,3347019
AO,Uige,Uige,2236568
AO,Zaire,Mbanza Congo,2239520
AO,Zaire,Soio,2236967
AQ,Antarctica,McMurdo Station,6620770
AR,Buenos Aires,Abasto,0
AR,Buenos Aires,Acevedo,0
AR,Buenos Aires,Alberti,0
AR,Buenos Aires,Alsina,0
AR,Buenos Aires,Arenaza,0
AR,Buenos Aires,Arrecifes,0
AR,Buenos Aires,Arribenos,0
AR,Buenos Aires,Arroyo Corto,0
AR,Buenos Aires,Avellaneda,7535637
AR,Buenos Aires,Azul,3436199
AR,Buenos Aires,Bahia Blanca,3865086
AR,Buenos Aires,Balcarce,0
AR,Buenos Aires,Balneario Claromeco,0
AR,Buenos Aires,Baradero,0
AR,Buenos Aires,Barker,0
AR,Buenos Aires,Batan,0
AR,Buenos Aires,Benito Juarez,0
AR,Buenos Aires,Bermudez,0
AR,Buenos Aires,Bosques,0
AR,Buenos Aires,Bragado,0
AR,Buenos Aires,Brandsen,0
AR,Buenos Aires,Cabildo,0
AR,Buenos Aires,Campana,3435810
AR,Buenos Aires,Canuelas,0
AR,Buenos Aires,Capilla del Senor,0
AR,Buenos Aires,Capitan Sarmiento,0
AR,Buenos Aires,Carhue,0
AR,Buenos Aires,Carlos Casares,0
AR,Buenos Aires,Carlos Tejedor,0
AR,Buenos Aires,Carmen de Areco,0
AR,Buenos Aires,Castelar,3435607
AR,Buenos Aires,Cazon,0
AR,Buenos Aires,Chacabuco,3861953
AR,Buenos Aires,Chascomus,0
AR,Buenos Aires,Chillar,0
AR,Buenos Aires,Chivilcoy,3861344
AR,Buenos Aires,Colon,0
AR,Buenos Aires,Conesa,0
AR,Buenos Aires,Coronel Dorrego,0
AR,Buenos Aires,Coronel Pringles,0
AR,Buenos Aires,Coronel Suarez,3860164
AR,Buenos Aires,Coronel Vidal,0
